Pitbull;Timber (feat. Ke$ha);0.581;0.963;0.0;0.0;1.40553997E9
Pitbull;Time of Our Lives;0.721;0.802;0.0;0.0;2.53293376E8
Pitbull;Feel This Moment (feat. Christina Aguilera);0.673;0.758;0.0;0.0;7.048752E8
Pitbull;International Love (feat. Chris Brown);0.67;0.855;3.788;0.0;8.6648064E8
Pitbull;Fireball (feat. John Ryan);0.761;0.933;0.0;0.0;3.07624512E8
Pitbull;We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte);0.592;0.935;0.0;0.0;8.9475629E8
Pitbull;Hotel Room Service;0.85;0.631;3.96;0.0;3.13590016E8
Pitbull;Hey Baby (Drop It to the Floor) (feat. T-Pain);0.595;0.912;390.755;0.0;3.0003296E8
Pitbull;HOT;0.898;0.677;0.0;0.0;5.2214352E7
Sean Paul;No Lie;0.742;0.882;0.0;0.0;1.12085402E9
Sean Paul;Temperature;0.951;0.6;0.0;0.0;3.61314912E8
Sean Paul;Go Down Deh (feat. Shaggy and Sean Paul);0.801;0.764;0.0;0.0;1.65860576E8
Sean Paul;Get Busy;0.741;0.824;0.0;0.0;2.08573232E8
Sean Paul;She Doesn't Mind;0.718;0.776;379.645;0.0;5.05918496E8
Sean Paul;Give It Up to Me;0.855;0.674;403.755;0.0;3.0688704E8
Sean Paul;(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version;0.711;0.761;0.0;0.0;3.0688704E8
Sean Paul;I'm Still in Love with You (feat. Sasha);0.765;0.666;4.556;0.0;3.14611936E8
Sean Paul;UP;0.812;0.712;24.824;0.0;8.1787112E7
Sean Paul;Contra La Pared;0.828;0.588;0.0;0.0;2.56405664E8
Elvis Presley;Can't Help Falling in Love;0.396;0.293;0.0;0.0;3.63854976E8
Elvis Presley;Blue Christmas;0.465;0.27;0.0;0.0;4.6348788E7
Elvis Presley;Here Comes Santa Claus (Right Down Santa Claus Lane);0.575;0.236;193.045;0.0;282465.0
Elvis Presley;Suspicious Minds;0.487;0.382;0.0;0.0;7484414.0
Elvis Presley;Burning Love;0.66;0.748;0.0;0.0;3649438.0
Elvis Presley;Always On My Mind;0.358;0.387;0.0;0.0;1.2982178E7
Elvis Presley;If I Can Dream;0.325;0.715;0.0;0.0;4.3935536E7
Elvis Presley;Jailhouse Rock;0.623;0.537;0.0;0.0;2.42588704E8
Elvis Presley;In the Ghetto;0.404;0.266;0.0;0.0;8647838.0
Elvis Presley;(You're The) Devil in Disguise;0.481;0.733;234.045;0.0;1.4332854E7
2Pac;Hit 'Em Up - Single Version;0.916;0.844;521.045;0.0;5.8571213E8
2Pac;Ambitionz Az A Ridah;0.801;0.91;0.0;0.0;89682.0
2Pac;California Love - Original Version;0.763;0.85;474.845;0.0;8.4654032E7
2Pac;All Eyez On Me (ft. Big Syke);0.872;0.723;512.955;0.0;1.4035099E7
2Pac;Do For Love;0.874;0.63;0.0;0.0;1276815.0
2Pac;Changes;0.865;0.665;448.045;0.0;306542.0
2Pac;Dear Mama;0.773;0.54;0.0;0.0;3.8106144E8
2Pac;Keep Ya Head Up;0.598;0.732;0.0;0.0;5434057.0
2Pac;2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg);0.849;0.904;0.0;0.0;1.8949722E7
2Pac;Can't C Me;0.795;0.852;0.0;0.0;1002891.0
Snoop Dogg;Bad Decisions (with BTS & Snoop Dogg);0.762;0.861;0.0;0.0;4.8725892E7
Snoop Dogg;Young, Wild & Free (feat. Bruno Mars);0.553;0.652;0.0;0.0;7.2660198E8
Snoop Dogg;Drop It Like It's Hot;0.888;0.632;443.445;0.0;2.42845152E8
Snoop Dogg;That's My N**** (with Meek Mill, YG & Snoop Dogg);0.723;0.732;0.0;0.0;1.4272788E7
Snoop Dogg;From The D 2 The LBC (with Snoop Dogg);0.718;0.768;0.0;0.0;7.0515272E7
Snoop Dogg;Sweat - Remix;0.813;0.732;326.645;0.0;2.37582704E8
Snoop Dogg;Beautiful;0.907;0.695;0.0;0.0;2.02432464E8
Snoop Dogg;I Wanna Fuck You;0.861;0.48;0.0;0.0;31364.0
Snoop Dogg;Qué Maldición;0.755;0.531;0.0;0.0;8.4170696E7
Snoop Dogg;Riders On The Storm - Fredwreck Remix;0.878;0.786;0.0;0.0;3.0994884E7
Lil Wayne;Love Me;0.669;0.634;0.0;0.0;4.75532736E8
Lil Wayne;Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors);0.502;0.786;0.0;0.0;7.8831814E8
Lil Wayne;Mirror;0.328;0.622;380.155;0.0;7.6498253E8
Lil Wayne;Forever;0.457;0.906;0.0;0.0;3.51589408E8
Lil Wayne;6 Foot 7 Foot;0.364;0.752;0.0;0.0;1.80051136E8
Lil Wayne;Lollipop;0.832;0.43;0.0;0.0;5.24707456E8
Lil Wayne;A Milli;0.663;0.688;0.0;0.0;1.1856519E7
Lil Wayne;Scared of the Dark (feat. XXXTENTACION);0.443;0.623;0.0;0.0;7163.0
Lil Wayne;ay! (feat. Lil Wayne);0.742;0.617;20.698;0.0;1.9671056E7
Lil Wayne;Right Above It;0.376;0.841;453.245;0.0;4.6104248E7
Sia;Snowman;0.716;0.512;0.0;0.0;2.15540368E8
Sia;Unstoppable;0.468;0.779;0.0;0.0;1.51276432E8
Sia;Chandelier;0.399;0.787;3.602;0.0;2.58153626E9
Sia;Dusk Till Dawn (feat. Sia) - Radio Edit;0.259;0.437;0.0;0.0;1.95376986E9
