Artist;Track;Album;Album_type;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Duration_min;Title;Channel;Views;Likes;Comments;Licensed;official_video;Stream;EnergyLiveness;most_playedon
Radiohead;Karma Police;OK Computer;album;0.36;501;-9129;258;638;9.32e-05;172;324;74807;4.401.116.666.666.660;Radiohead - Karma Police;Radiohead;89246405.0;593396.0;17682.0;TRUE;TRUE;382823305.0;2.912.790.697.674.410;Spotify
Radiohead;High and Dry;The Bends;album;419;383;-11782;256;724;176;896;0.35;87568;4.291.333.333.333.330;Radiohead -  High & Dry -  American Version [OFFICIAL MUSIC VIDEO];Justice Elan Wenzloff;80290.0;2133.0;238.0;FALSE;FALSE;291096318.0;4.274.553.571.428.570;Spotify
Radiohead;Exit Music (For A Film);OK Computer;album;293;276;-11357;349;224;122;167;195;121603;4.453.116.666.666.660;Exit Music (For A Film);Radiohead - Topic;10644157.0;171322.0;1669.0;TRUE;TRUE;146857863.0;16.526.946.107.784.400;Spotify
Radiohead;Weird Fishes/ Arpeggi;In Rainbows;album;531;0.61;-8025;387;772;756;908;199;152958;5.303.116.666.666.660;Radiohead - Weird Fishes -  by Tobias Stretch;Radiohead;15335499.0;125774.0;4852.0;FALSE;TRUE;121688699.0;671.806.167.400.881;Spotify
Radiohead;Jigsaw Falling Into Place;In Rainbows;album;462;832;-6085;479;108;416;741;807;165653;4.148.216.666.666.660;Radiohead - Jigsaw Falling Into Place;Radiohead;26398730.0;180969.0;8010.0;TRUE;TRUE;79367881.0;11.228.070.175.438.500;Spotify
Radiohead;Fake Plastic Trees;The Bends;album;463;229;-12592;297;167;997;202;135;73543;4.845.116.666.666.660;Radiohead - Fake Plastic Trees;Radiohead;61340263.0;398951.0;15400.0;TRUE;TRUE;219867047.0;11.336.633.663.366.300;Spotify
Radiohead;Just;The Bends;album;291;767;-6913;862;401;12;763;359;175702;39.133.333.333.333.300;Radiohead - Just;Radiohead;15041854.0;146328.0;6899.0;TRUE;TRUE;88945336.0;10.052.424.639.580.600;Spotify
Radiohead;Nude;In Rainbows;album;516;342;-9785;342;832;579;857;167;128378;425.645;Radiohead - Nude;Radiohead;12205514.0;124486.0;4536.0;TRUE;TRUE;86388469.0;3.990.665.110.851.800;Spotify
AC/DC;Highway to Hell;Highway to Hell;album;574;913;-4793;133;61;158;156;423;115728;3.473.333.333.333.330;AC/DC - Highway to Hell (Official Video);acdcVEVO;274830901.0;2039258.0;44487.0;TRUE;TRUE;1143164505.0;5.852.564.102.564.100;Spotify
AC/DC;Thunderstruck;The Razors Edge;album;502;0.89;-5175;364;147;117;217;259;133.52;4.881.333.333.333.330;AC/DC - Thunderstruck (Official Video);acdcVEVO;1224226060.0;5989128.0;153047.0;TRUE;TRUE;1088388556.0;41.013.824.884.792.600;Youtube
AC/DC;Back In Black;Back In Black;album;0.31;0.7;-5678;47;11;965;828;763;188386;4.258.216.666.666.660;AC/DC - Back In Black (Official Video);acdcVEVO;915158054.0;5643694.0;134549.0;TRUE;TRUE;1182379398.0;8.454.106.280.193.230;Spotify
AC/DC;You Shook Me All Night Long;Back In Black;album;532;767;-5509;574;287;513;0.39;755;127361;3.502.883.333.333.330;AC/DC - You Shook Me All Night Long (Official Video);acdcVEVO;279117834.0;1348845.0;26645.0;TRUE;TRUE;802076123.0;19.666.666.666.666.600;Spotify
AC/DC;T.N.T.;High Voltage;album;754;759;-5218;302;153;108;101;435;126366;35.777.833.333.333.300;AC/DC - T.N.T. (Live At River Plate, December 2009);acdcVEVO;240908491.0;934797.0;19584.0;TRUE;TRUE;526521070.0;7.514.851.485.148.510;Spotify
AC/DC;Hells Bells;Back In Black;album;389;873;-4768;475;532;55;273;303;106767;5.204.883.333.333.330;AC/DC - Hells Bells (Official Video);acdcVEVO;252038354.0;1067479.0;29353.0;TRUE;TRUE;296521772.0;31.978.021.978.021.900;Spotify
AC/DC;Dirty Deeds Done Dirt Cheap;Dirty Deeds Done Dirt Cheap;album;668;906;-4881;0.17;214;245;135;507;135653;386.555;AC/DC - Dirty Deeds Done Dirt Cheap (Official Audio);acdcVEVO;852728.0;14044.0;1029.0;TRUE;TRUE;269837425.0;6.711.111.111.111.110;Spotify
AC/DC;Shoot to Thrill;Back In Black;album;457;904;-5303;747;239;879;396;0.48;141038;529.045;AC/DC - Shoot To Thrill (Iron Man 2 Version);acdcVEVO;172293392.0;642344.0;17673.0;TRUE;TRUE;292026041.0;2.282.828.282.828.280;Spotify
AC/DC;It's a Long Way to the Top (If You Wanna Rock 'N' Roll);High Voltage;album;456;863;-3551;894;133;538;553;532;135962;502.045;AC/DC - It's a Long Way to the Top (If You Wanna Rock 'n' Roll) (Official Video);Official Lives & Music Videos - Official Channel;102527.0;1881.0;240.0;FALSE;FALSE;196347993.0;15.605.786.618.444.800;Spotify
AC/DC;Rock N Roll Train;Black Ice;album;547;931;-2356;615;998;118;278;697;118.4;435.845;AC/DC - Rock N Roll Train (Official Video);acdcVEVO;18237531.0;119749.0;2251.0;TRUE;TRUE;144143014.0;33.489.208.633.093.500;Spotify
Black Eyed Peas;I Gotta Feeling;THE E.N.D. (THE ENERGY NEVER DIES);album;744;766;-6375;265;873;0.0;509;0.61;127966;4.818.883.333.333.330;The Black Eyed Peas - I Gotta Feeling (Official Music Video);BlackEyedPeasVEVO;638267058.0;3670416.0;131565.0;TRUE;TRUE;1001227038.0;15.049.115.913.555.900;Spotify
