Artist;Track;Album;Album_type;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Duration_min;Title;Channel;Views;Likes;Comments;Licensed;official_video;Stream;EnergyLiveness;most_playedon;;;
Radiohead;Creep;Pablo Honey;album;515;0.43;-9935;0.0372;0.0097;0.000133;129;104;91844;3.977333333333333;Radiohead - Creep;Radiohead;763497849.0;4777393.0;147276.0;True;True;1101854725.0;3.333333333333333;Spotify;;;
Radiohead;No Surprises;OK Computer;album;255;393;-10654;0.0278;0.0577;0.00361;113;118;76426;3.8186666666666667;Radiohead - No Surprises;Radiohead;167847274.0;1274934.0;40034.0;True;True;379349681.0;3.47787610619469;Spotify;;;
Radiohead;Karma Police;OK Computer;album;0.36;501;-9129;0.0258;0.0638;9.32e-05;172;324;74807;4.401116666666667;Radiohead - Karma Police;Radiohead;89246405.0;593396.0;17682.0;True;True;382823305.0;2.912790697674419;Spotify;;;
Radiohead;High and Dry;The Bends;album;419;383;-11782;0.0256;0.0724;0.0176;0.0896;0.35;87568;4.291333333333333;Radiohead -  High & Dry -  American Version [OFFICIAL MUSIC VIDEO];Justice Elan Wenzloff;80290.0;2133.0;238.0;False;False;291096318.0;4.274553571428571;Spotify;;;
Radiohead;Exit Music (For A Film);OK Computer;album;293;276;-11357;0.0349;224;122;167;195;121603;4.453116666666666;Exit Music (For A Film);Radiohead - Topic;10644157.0;171322.0;1669.0;True;True;146857863.0;1.6526946107784433;Spotify;;;
Radiohead;Weird Fishes/ Arpeggi;In Rainbows;album;531;0.61;-8025;0.0387;772;756;0.0908;199;152958;5.303116666666667;Radiohead - Weird Fishes -  by Tobias Stretch;Radiohead;15335499.0;125774.0;4852.0;False;True;121688699.0;6.71806167400881;Spotify;;;
Radiohead;Jigsaw Falling Into Place;In Rainbows;album;462;832;-6085;0.0479;108;0.00416;0.0741;807;165653;4.148216666666666;Radiohead - Jigsaw Falling Into Place;Radiohead;26398730.0;180969.0;8010.0;True;True;79367881.0;11.228070175438596;Spotify;;;
Radiohead;Fake Plastic Trees;The Bends;album;463;229;-12592;0.0297;167;0.0997;202;135;73543;4.845116666666667;Radiohead - Fake Plastic Trees;Radiohead;61340263.0;398951.0;15400.0;True;True;219867047.0;1.1336633663366336;Spotify;;;
Radiohead;Just;The Bends;album;291;767;-6913;0.0862;0.000401;12;0.0763;359;175702;3.9133333333333336;Radiohead - Just;Radiohead;15041854.0;146328.0;6899.0;True;True;88945336.0;10.052424639580602;Spotify;;;
Radiohead;Nude;In Rainbows;album;516;342;-9785;0.0342;832;579;0.0857;167;128378;4.25645;Radiohead - Nude;Radiohead;12205514.0;124486.0;4536.0;True;True;86388469.0;3.990665110851809;Spotify;;;
AC/DC;Highway to Hell;Highway to Hell;album;574;913;-4793;133;61;0.00158;156;423;115728;3.473333333333333;AC/DC - Highway to Hell (Official Video);acdcVEVO;274830901.0;2039258.0;44487.0;True;True;1143164505.0;5.852564102564103;Spotify;;;
AC/DC;Thunderstruck;The Razors Edge;album;502;0.89;-5175;0.0364;0.000147;0.0117;217;259;133.52;4.881333333333333;AC/DC - Thunderstruck (Official Video);acdcVEVO;1224226060.0;5989128.0;153047.0;True;True;1088388556.0;4.1013824884792625;Youtube;;;
AC/DC;Back In Black;Back In Black;album;0.31;0.7;-5678;47;11;0.00965;0.0828;763;188386;4.258216666666667;AC/DC - Back In Black (Official Video);acdcVEVO;915158054.0;5643694.0;134549.0;True;True;1182379398.0;8.454106280193237;Spotify;;;
AC/DC;You Shook Me All Night Long;Back In Black;album;532;767;-5509;0.0574;0.00287;0.000513;0.39;755;127361;3.502883333333333;AC/DC - You Shook Me All Night Long (Official Video);acdcVEVO;279117834.0;1348845.0;26645.0;True;True;802076123.0;1.9666666666666666;Spotify;;;
AC/DC;T.N.T.;High Voltage;album;754;759;-5218;302;153;0.000108;101;435;126366;3.5777833333333335;AC/DC - T.N.T. (Live At River Plate, December 2009);acdcVEVO;240908491.0;934797.0;19584.0;True;True;526521070.0;7.514851485148514;Spotify;;;
AC/DC;Hells Bells;Back In Black;album;389;873;-4768;0.0475;0.00532;0.0055;273;303;106767;5.204883333333333;AC/DC - Hells Bells (Official Video);acdcVEVO;252038354.0;1067479.0;29353.0;True;True;296521772.0;3.1978021978021975;Spotify;;;
AC/DC;Dirty Deeds Done Dirt Cheap;Dirty Deeds Done Dirt Cheap;album;668;906;-4881;0.17;214;0.00245;135;507;135653;3.86555;AC/DC - Dirty Deeds Done Dirt Cheap (Official Audio);acdcVEVO;852728.0;14044.0;1029.0;True;True;269837425.0;6.711111111111111;Spotify;;;
AC/DC;Shoot to Thrill;Back In Black;album;457;904;-5303;0.0747;0.000239;0.0879;396;0.48;141038;5.29045;AC/DC - Shoot To Thrill (Iron Man 2 Version);acdcVEVO;172293392.0;642344.0;17673.0;True;True;292026041.0;2.282828282828283;Spotify;;;
